,customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,Charges.Daily
0,0002-ORFBO,False,Female,False,True,True,9,True,False,DSL,False,True,False,True,True,False,One year,True,Mailed check,65.6,593.3,2.16
1,0003-MKNFE,False,Male,False,False,False,9,True,True,DSL,False,False,False,False,False,True,Month-to-month,False,Mailed check,59.9,542.4,1.97
2,0004-TLHLJ,True,Male,False,False,False,4,True,False,Fiber optic,False,False,True,False,False,False,Month-to-month,True,Electronic check,73.9,280.85,2.43
3,0011-IGKFF,True,Male,True,True,False,13,True,False,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Electronic check,98.0,1237.85,3.22
4,0013-EXCHZ,True,Female,True,True,False,3,True,False,Fiber optic,False,False,False,True,True,False,Month-to-month,True,Mailed check,83.9,267.4,2.76
5,0013-MHZWF,False,Female,False,False,True,9,True,False,DSL,False,False,False,True,True,True,Month-to-month,True,Credit card (automatic),69.4,571.45,2.28
6,0013-SMEOE,False,Female,True,True,False,71,True,False,Fiber optic,True,True,True,True,True,True,Two year,True,Bank transfer (automatic),109.7,7904.25,3.6
7,0014-BMAQU,False,Male,False,True,False,63,True,True,Fiber optic,True,False,False,True,False,False,Two year,True,Credit card (automatic),84.65,5377.8,2.78
8,0015-UOCOJ,False,Female,True,False,False,7,True,False,DSL,True,False,False,False,False,False,Month-to-month,True,Electronic check,48.2,340.35,1.58
9,0016-QLJIS,False,Female,False,True,True,65,True,True,DSL,True,True,True,True,True,True,Two year,True,Mailed check,90.45,5957.9,2.97
10,0017-DINOC,False,Male,False,False,False,54,False,False,DSL,True,False,False,True,True,False,Two year,False,Credit card (automatic),45.2,2460.55,1.48
11,0017-IUDMW,False,Female,False,True,True,72,True,True,Fiber optic,True,True,True,True,True,True,Two year,True,Credit card (automatic),116.8,8456.75,3.84
12,0018-NYROU,False,Female,False,True,False,5,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,68.95,351.5,2.27
13,0019-EFAEP,False,Female,False,False,False,72,True,True,Fiber optic,True,True,True,False,True,False,Two year,True,Bank transfer (automatic),101.3,7261.25,3.33
14,0019-GFNTW,False,Female,False,False,False,56,False,False,DSL,True,True,True,True,False,False,Two year,False,Bank transfer (automatic),45.05,2560.1,1.48
15,0020-INWCK,False,Female,False,True,True,71,True,True,Fiber optic,False,True,True,False,False,True,Two year,True,Credit card (automatic),95.75,6849.4,3.15
16,0020-JDNXP,False,Female,False,True,True,34,False,False,DSL,True,False,True,True,True,True,One year,False,Mailed check,61.25,1993.2,2.01
17,0021-IKXGC,False,Female,True,False,False,1,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,72.1,72.1,2.37
18,0022-TCJCI,True,Male,True,False,False,45,True,False,DSL,True,False,True,False,False,True,One year,False,Credit card (automatic),62.7,2791.5,2.06
19,0023-HGHWL,True,Male,True,False,False,1,False,False,DSL,False,False,False,False,False,False,Month-to-month,True,Electronic check,25.1,25.1,0.82
20,0023-UYUPN,False,Female,True,True,False,50,True,True,No,False,False,False,False,False,False,One year,False,Electronic check,25.2,1306.3,0.83
21,0023-XUOPT,True,Female,False,True,False,13,True,True,Fiber optic,False,True,True,False,True,False,Month-to-month,False,Electronic check,94.1,1215.6,3.09
22,0027-KWYKW,False,Female,False,True,True,23,True,True,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Electronic check,83.75,1849.95,2.75
23,0030-FNXPP,False,Female,False,False,False,3,True,False,No,False,False,False,False,False,False,Month-to-month,False,Mailed check,19.85,57.2,0.65
24,0031-PVLZI,True,Female,False,True,True,4,True,False,No,False,False,False,False,False,False,Month-to-month,False,Mailed check,20.35,76.35,0.67
25,0032-PGELS,True,Female,False,True,True,1,False,False,DSL,True,False,False,False,False,False,Month-to-month,False,Bank transfer (automatic),30.5,30.5,1.0
26,0036-IHMOT,False,Female,False,True,True,55,True,False,Fiber optic,False,True,True,True,True,True,One year,True,Bank transfer (automatic),103.7,5656.75,3.41
27,0040-HALCW,False,Male,False,True,True,54,True,False,No,False,False,False,False,False,False,Two year,False,Credit card (automatic),20.4,1090.6,0.67
28,0042-JVWOJ,False,Male,False,False,False,26,True,False,No,False,False,False,False,False,False,One year,True,Bank transfer (automatic),19.6,471.85,0.64
29,0042-RLHYP,False,Female,False,True,True,69,True,False,No,False,False,False,False,False,False,Two year,False,Bank transfer (automatic),19.7,1396.9,0.65
31,0048-LUMLS,False,Male,False,True,True,37,True,False,Fiber optic,False,False,False,False,True,True,One year,False,Credit card (automatic),91.2,3247.55,3.0
32,0048-PIHNL,False,Female,False,True,False,49,True,False,No,False,False,False,False,False,False,One year,False,Bank transfer (automatic),20.45,900.9,0.67
33,0052-DCKON,False,Male,False,True,False,66,True,True,Fiber optic,True,True,True,True,True,True,One year,False,Bank transfer (automatic),115.8,7942.15,3.8
34,0052-YNYOT,False,Female,False,False,False,67,True,False,No,False,False,False,False,False,False,One year,False,Electronic check,20.55,1343.4,0.68
35,0056-EPFBG,False,Male,False,True,True,20,False,False,DSL,True,False,True,True,False,False,Two year,True,Credit card (automatic),39.4,825.4,1.29
36,0057-QBUQH,False,Female,False,False,True,43,True,True,No,False,False,False,False,False,False,Two year,True,Electronic check,25.1,1070.15,0.82
37,0058-EVZWM,False,Female,False,True,False,55,True,True,Fiber optic,True,False,False,False,True,False,Month-to-month,True,Bank transfer (automatic),89.8,4959.6,2.95
38,0060-FUALY,False,Female,False,True,False,59,True,True,Fiber optic,True,True,False,False,True,False,Month-to-month,True,Electronic check,94.75,5597.65,3.11
39,0064-SUDOG,False,Female,False,True,True,12,True,False,No,False,False,False,False,False,False,Two year,False,Bank transfer (automatic),20.3,224.5,0.67
40,0064-YIJGF,False,Male,False,True,True,27,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Bank transfer (automatic),75.75,1929.0,2.49
41,0067-DKWBL,True,Male,True,False,False,2,True,False,DSL,True,False,False,False,False,False,Month-to-month,True,Electronic check,49.25,91.1,1.62
42,0068-FIGTF,False,Female,False,False,False,27,True,False,DSL,False,True,True,True,True,True,One year,False,Mailed check,78.2,2078.95,2.57
43,0071-NDAFP,False,Male,False,True,True,25,True,True,No,False,False,False,False,False,False,Two year,False,Credit card (automatic),25.5,630.6,0.84
44,0074-HDKDG,False,Male,False,True,True,25,True,False,DSL,True,True,True,False,False,False,One year,True,Bank transfer (automatic),61.6,1611.0,2.02
45,0076-LVEPS,False,Male,False,False,True,29,False,False,DSL,True,True,True,True,False,False,Month-to-month,True,Mailed check,45.0,1242.45,1.48
46,0078-XZMHT,False,Male,False,True,False,72,True,True,DSL,False,True,True,True,True,True,Two year,True,Bank transfer (automatic),85.15,6316.2,2.8
47,0080-EMYVY,False,Female,False,False,False,14,True,False,DSL,False,True,False,False,False,False,One year,False,Credit card (automatic),51.45,727.85,1.69
48,0080-OROZO,False,Female,False,False,False,35,True,False,Fiber optic,False,False,True,True,True,True,One year,True,Electronic check,99.25,3532.0,3.26
49,0082-LDZUE,False,Male,False,False,False,1,True,False,DSL,False,False,False,False,False,False,Month-to-month,True,Mailed check,44.3,44.3,1.46
50,0082-OQIQY,False,Male,False,False,False,29,True,False,Fiber optic,False,False,False,True,True,True,Month-to-month,True,Electronic check,94.2,2607.6,3.09
51,0083-PIVIK,False,Male,False,False,False,64,True,True,DSL,True,True,True,True,True,False,One year,False,Electronic check,81.25,5567.55,2.67
52,0089-IIQKO,False,Female,False,True,True,39,True,True,Fiber optic,False,False,False,True,True,True,Month-to-month,True,Credit card (automatic),99.95,3767.4,3.28
53,0093-EXYQL,False,Female,True,False,False,40,True,False,Fiber optic,False,False,False,False,True,True,Month-to-month,True,Electronic check,91.55,3673.6,3.01
54,0093-XWZFY,True,Male,False,False,False,40,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Credit card (automatic),104.5,4036.85,3.43
55,0094-OIFMO,True,Female,True,False,False,11,True,False,Fiber optic,False,True,False,False,True,True,Month-to-month,True,Electronic check,95.0,1120.3,3.12
56,0096-BXERS,False,Female,False,True,False,6,True,True,DSL,False,False,False,False,False,False,Month-to-month,False,Electronic check,50.35,314.55,1.65
57,0096-FCPUF,False,Male,False,False,False,30,True,True,DSL,True,False,False,False,False,True,Month-to-month,True,Mailed check,64.5,1888.45,2.12
